first_name,second_name,assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,form,goals_conceded,goals_scored,ict_index,idx,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,red_cards,saves,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,points_per_game
Ivan,Toney,2,5,,,144485,0,0,2,-2,122.9,0,4,6.1,5.6,1,5.6,7,2,35.9,80,False,119.2,450,,,72,0,0,0,144485.jpg,0,0,16.8,False,,a,4,94,116.0,28,1644647,24029,682752,200091,0.8,3.9,Toney,1,5.6
David,Raya Martin,0,2,,,154561,0,0,0,0,0.0,0,1,4.7,4.2,3,4.2,7,0,15.3,81,False,152.2,450,,,45,0,0,0,154561.jpg,0,22,6.5,False,,a,4,94,0.0,21,250882,19873,162086,8940,0.9,4.7,Raya,0,4.2
Sergi,Canós Tenés,0,0,0,0,174932,0,0,0,0,0.0,0,2,0.0,0.0,0,0.0,0,0,0.0,82,False,0.0,0,Hamstring injury - Expected back 10 Sep,2022-07-05T15:30:04.130646Z,50,0,0,0,174932.jpg,0,0,0.0,False,,i,4,94,0.0,0,557,47,1089,61,0.0,0.0,Canós,0,0.0
Josh,Dasilva,0,0,,,183656,0,0,1,-1,30.0,0,3,4.1,3.6,1,3.6,3,2,18.3,83,False,95.2,277,,,46,0,0,0,183656.jpg,0,0,10.2,False,,a,4,94,58.0,18,1256409,26427,473894,47947,0.8,3.9,Dasilva,1,3.6
Kristoffer,Ajer,0,0,50,50,191866,0,0,0,0,0.0,0,2,0.2,0.0,0,0.0,0,0,0.0,84,False,0.0,0,Lack of match fitness - 50% chance of playing,2022-07-09T23:30:03.939569Z,45,0,0,0,191866.jpg,0,0,0.0,False,,d,4,94,0.0,0,412,36,1370,70,0.0,0.0,Ajer,0,0.0
Rico,Henry,1,0,,,194010,0,0,0,0,62.5,0,2,3.5,3.0,2,3.0,7,0,19.3,85,False,70.6,450,,,45,0,0,0,194010.jpg,0,0,1.3,False,,a,4,94,59.0,15,123696,4596,69371,4425,0.7,3.3,Henry,0,3.0
Vitaly,Janelt,1,3,,,204580,0,0,0,0,43.8,0,3,4.1,3.6,8,3.6,4,1,23.9,86,False,89.8,259,,,55,0,0,0,204580.jpg,0,0,0.1,False,,a,4,94,106.0,18,4747,2287,3817,392,0.7,3.3,Janelt,0,3.6
Saman,Ghoddos,0,0,,,205836,0,0,-1,1,1.7,0,3,0.9,0.4,1,0.4,1,0,0.2,87,False,0.6,18,,,49,0,0,0,205836.jpg,0,0,0.0,False,,a,4,94,0.0,2,729,40,1527,90,0.1,0.4,Ghoddos,0,1.0
Mathias,Jensen,2,3,,,207283,0,0,1,-1,135.2,1,3,5.1,4.6,2,4.6,6,1,27.6,88,False,106.8,358,,,51,0,0,0,207283.jpg,0,0,3.2,False,,a,4,94,33.0,23,411030,19783,150526,15950,0.9,4.5,Jensen,0,4.6
Yoane,Wissa,1,1,,,216646,0,0,-1,1,19.3,0,3,3.7,3.2,7,3.2,5,1,13.9,89,False,57.8,261,,,54,0,0,0,216646.jpg,0,0,0.2,False,,a,4,94,66.0,16,9732,2031,13763,595,0.6,3.0,Wissa,1,3.2
